FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=54, fi_cycle=29, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=5, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=163, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=22, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=40, fi_cycle=212, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=40, fi_cycle=95, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=78, fi_cycle=172, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=4, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=78, fi_cycle=136, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=25, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=7, fi_cycle=44, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=14, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=139, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=10, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=60, fi_cycle=112, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=17, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=55, fi_cycle=69, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=3, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=51, fi_cycle=105, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=26, opcode=fdiv
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=42, fi_cycle=57, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=25, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2, fi_cycle=41, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=42, opcode=alloca
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=161, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=21, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=131, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=15, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=14, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=30, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=48, fi_cycle=63, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=7, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=217, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=15, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=59, fi_cycle=72, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=1, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=209, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=15, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=68, fi_cycle=48, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=54, opcode=fpext
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=8, fi_cycle=123, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=12, opcode=fsub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=77, fi_cycle=51, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=8, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=17, fi_cycle=4, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=49, opcode=alloca
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=70, fi_cycle=50, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=fcmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=145, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=14, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=210, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=40, fi_cycle=206, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=61, fi_cycle=74, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=8, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=222, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
